group,V2L to V1,,,,,v1 to V2L areas (human tracing),,,,
identifier,JR1045,JR1075,JR1004,JR1085,,M487,M488,M496,M729,M730
normalized px counts,0.0000274,0.0000344,0.0000715,0.0000299,,3.24E-07,4.38E-08,5.48E-08,9.56E-08,4.19E-08
